source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,MLI_type,MLI_AD,MLI_standoff,bumper_mat,bumper_density,bumper_thick,HC_mat,HC_diam,HC_thick,HC_density,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,,g/cm2,cm,-,g/cm3,cm,,cm,cm,g/cm3,cm,,g/cm3,ksi,cm,-,
Shephard_IJIE_1993,A1633,AA2017-T3,2.8,0.318,45,6.21,,,,AA6061-T6,2.7,0.0254,AA5052-H39,0.31,0.001778,2.68,1.27,AA6061-T6,2.7,40,0.0254,P,1
Shephard_IJIE_1993,A1634,AA2017-T3,2.8,0.318,60,6.37,,,,AA6061-T6,2.7,0.0254,AA5052-H39,0.31,0.001778,2.68,1.27,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-107325,1B,AA2017-T4,2.8,0.48,0,6.8,,,,AA7075-T73,2.8,0.04,AA5056-H39,0.48,0.0025,2.64,1.27,AA7075-T73,2.8,63,0.04,P,1
NASA-TM-107325,1D,AA2017-T4,2.8,0.48,0,6.72,,,,AA7075-T73,2.8,0.04,AA5052-H39,0.48,0.0025,2.64,1.27,AA7075-T73,2.8,63,0.04,P,1
NASA-TM-107325,2B,AA2017-T4,2.8,0.64,0,3.2,,,,AA7075-T73,2.8,0.04,AA5052-H39,0.48,0.0025,2.64,1.27,AA7075-T73,2.8,63,0.04,P,1
NASA-TM-107325,2D,AA2017-T4,2.8,0.48,0,3.23,,,,AA7075-T73,2.8,0.04,AA5052-H39,0.48,0.0025,2.64,1.27,AA7075-T73,2.8,63,0.04,P,1
NASA-TM-107325,3B,AA2017-T4,2.8,0.64,0,5.88,,,,AA7075-T73,2.8,0.04,AA5052-H39,0.48,0.0025,2.64,1.27,AA7075-T73,2.8,63,0.04,P,1
Frost_ECSD_1997,A-2634,AA2017-T4,2.8,0.119,0,7.04,Standard,0.63,0,M60J/954-2A,1.7,0.0254,Aluminum,0.3175,0.0025,2.78,1.5875,M60J/954-2A,1.7,,0.0254,P,1
Frost_ECSD_1997,A-2635,AA2017-T4,2.8,0.079,0,7.04,Standard,0.63,0,M60J/954-2A,1.7,0.0254,Aluminum,0.3175,0.0025,2.78,1.5875,M60J/954-2A,1.7,,0.0254,NP,0
Frost_ECSD_1997,A-2636,AA2017-T4,2.8,0.159,0,6.65,Standard,0.63,0,P100,1.7,0.0762,Aluminum,0.3175,0.0025,2.78,1.5875,P100,1.7,,0.0762,P,1
Frost_ECSD_1997,A-2637,AA2017-T4,2.8,0.119,0,6.8,Standard,0.63,0,P100,1.7,0.0762,Aluminum,0.3175,0.0025,2.78,1.5875,P100,1.7,,0.0762,NP,0
Frost_ECSD_1997,A-2675,AA2017-T4,2.8,0.119,0,7.26,Standard,0.63,0,M60J/954-2A,1.7,0.0254,Aluminum,0.3175,0.0025,2.78,1.5875,M60J/954-2A,1.7,,0.0254,P,1
Frost_ECSD_1997,A-2639,AA2017-T4,2.8,0.159,0,6.64,Standard,0.63,0,M60J/954,1.7,0.0508,Aluminum,0.3175,0.0025,2.78,0.635,M60J/954,1.7,,0.0508,P,1
Frost_ECSD_1997,A-2640,AA2017-T4,2.8,0.119,0,6.66,Standard,0.63,0,M60J/954,1.7,0.0508,Aluminum,0.3175,0.0025,2.78,0.635,M60J/954,1.7,,0.0508,P,1
Frost_ECSD_1997,A-2641,AA2017-T4,2.8,0.079,0,6.81,Standard,0.63,0,M60J/954,1.7,0.0508,Aluminum,0.3175,0.0025,2.78,0.635,M60J/954,1.7,,0.0508,NP,0
Frost_ECSD_1997,A-2642,AA2017-T4,2.8,0.238,0,6.63,Standard,0.63,0,M60J/954,1.7,0.1016,Aluminum,0.3175,0.0025,2.78,0.635,M60J/954,1.7,,0.1016,P,1
Frost_ECSD_1997,A-2643,AA2017-T4,2.8,0.198,0,6.77,Standard,0.63,0,M60J/954,1.7,0.1016,Aluminum,0.3175,0.0025,2.78,0.635,M60J/954,1.7,,0.1016,P,1
Frost_ECSD_1997,A-2644,AA2017-T4,2.8,0.159,0,6.81,Standard,0.63,0,M60J/954,1.7,0.1016,Aluminum,0.3175,0.0025,2.78,0.635,M60J/954,1.7,,0.1016,P,1
