source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,perforated_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-
SN3-91-19,1487,0.04,Al 6061-T6,2.713,0.000088,0,7.3,Al 3003-H12,0.01,2.74,1.27,Al 3003-H12,0.015,2.73,18,F3,0
SN3-91-19,1481,0.04,Al 2017-T4,2.796,0.000091,0,7.1,Al 3003-H12,0.01,2.74,1.27,Al 3003-H12,0.01,2.73,18,F4,1
SN3-91-19,1476,0.04,Al 2017-T4,2.796,0.000091,0,8.06,Al 3003-H14,0.01,2.74,1.27,Al 3003-H14,0.027,2.73,21,F3,0
SN3-91-19,4613,0.079,Glass,2.25,0.00059,0,7.13,Alclad 7075-T6,0.025,2.78,5.08,Al 2024-T3,0.025,2.77,47,E2,0
SN3-91-19,4637,0.079,Glass,2.25,0.00059,0,7.22,Alclad 7075-T6,0.015,2.78,5.08,Al 2024-T3,0.025,2.77,47,E4,1
SN3-91-19,4638,0.079,Glass,2.25,0.00059,0,7.53,Alclad 7075-T6,0.015,2.78,7.62,Al 2024-T3,0.025,2.77,47,E4,1
SN3-91-19,A250,0.079,Glass,2.25,0.00059,0,6.52,Alclad 7075-T6,0.03,2.78,2.54,Al 7075-T6,0.03,2.8,90,E2,0
SN3-91-19,A201,0.079,Glass,2.25,0.00059,0,6.7,Alclad 7075-T6,0.03,2.78,7.62,Al 1100-H14,0.03,2.71,17,E4,1
SN3-91-19,4681,0.079,Al 6061-T6,2.71,0.00071,0,7.34,Alclad 7075-T6,0.051,2.78,2.54,Al 2024-T3,0.041,2.77,47,D2,0
SN3-91-19,4679,0.079,Al 6061-T6,2.71,0.00071,0,7.16,Alclad 7075-T6,0.051,2.78,7.62,Al 2024-T3,0.025,2.77,47,D2,0
SN3-91-19,4658,0.079,Al 6061-T6,2.71,0.00071,0,7.25,Alclad 7075-T6,0.015,2.78,5.08,Al 2024-T3,0.025,2.77,47,E4,1
SN3-91-19,1435,0.08,Al 2017-T4,2.796,0.00076,0,6.52,Al 6061-T6,0.015,2.713,2.54,Al 2024-T3,0.03,2.77,47,E2,0
SN3-91-19,A1468,0.081,Al 2017-T4,2.796,0.00078,0,6.7,Al 6061-T6,0.015,2.713,2.54,Al 2024-T3,0.0305,2.77,47,E2,0
SN3-91-19,4695,0.159,Glass,2.25,0.0053,0,7.56,Alclad 7075-T6,0.051,2.78,5.08,Al 2024-T3,0.064,2.77,47,E2,0
SN3-91-19,4709,0.159,Glass,2.25,0.0053,0,7.26,Alclad 7075-T6,0.025,2.78,5.08,Al 2024-T3,0.064,2.77,47,E2,0
SN3-91-19,4691,0.159,Glass,2.25,0.0053,0,7.25,Alclad 7075-T6,0.05088,2.78,7.62,Al 2024-T3,0.041,2.77,47,E4,1
SN3-91-19,4706,0.159,Glass,2.25,0.0053,0,7.26,Alclad 7075-T6,0.025,2.78,7.62,Al 2024-T3,0.041,2.77,47,E4,1
SN3-91-19,4738,0.159,Al 6061-T6,2.71,0.0057,0,7.2,Alclad 7075-T6,0.051,2.78,5.08,Al 2024-T3,0.064,2.77,47,E1,0
SN3-91-19,4736,0.159,Al 6061-T6,2.71,0.0057,0,7.31,Alclad 7075-T6,0.051,2.78,7.62,Al 2024-T3,0.041,2.77,47,E4,1
SN3-91-19,A1200,0.2,Al 2017-T4,2.796,0.0117,0,6.93,Alclad 7075-T6,0.015,2.78,6.4,Al 6061-T6,0.483,2.7,36,D1,0
SN3-91-19,A1218,0.2,Al 2017-T4,2.796,0.0117,0,6.93,Alclad 7075-T6,0.015,2.78,6.4,Al 2024-T3,0.318,2.77,47,D3,1
SN3-91-19,A1196,0.2,Al 2017-T4,2.796,0.0117,0,7.2,Alclad 7075-T6,0.036,2.78,6.4,Al 2024-T3,0.159,2.77,47,E2,0
SN3-91-19,A1076,0.2,Al 2017-T4,2.796,0.0117,0,6.37,Al 6061-T6,0.064,2.713,6,Al 6061-T6,0.041,2.7,36,E4,1
SN3-91-19,A1077,0.2,Al 2017-T4,2.796,0.0117,0,6.77,Al 6061-T6,0.41,2.713,6,Al 6061-T6,0.064,2.7,36,E2,0
SN3-91-19,A1281,0.318,Nylon,1.145,0.0192,0,6.7,Al 6061-T6,0.025,2.713,10.16,Al 2024-T3,0.081,2.77,47,E4,1
SN3-91-19,A235,0.318,Al 99.9%,2.78,0.0466,0,6.98,Alclad 7075-T6,0.056,2.78,10.16,Al 2024-T3,0.159,2.77,47,E3,0
SN3-91-19,A240,0.318,Al 99.9%,2.78,0.0466,0,6.58,Alclad 7075-T6,0.081,2.78,10.16,Al 2024-T3,0.127,2.77,47,E2,0
SN3-91-19,A151,0.318,Al 6061-T6,2.713,0.0455,0,6.6,Alclad 7075-T6,0.081,2.78,5.08,Al 2024-T3,0.127,2.77,47,D4,1
SN3-91-19,B31,0.635,Al 2017-T4,2.796,0.3748,0,7.08,Al 6061-T6,0.127,2.713,20.32,Al 6061-T6,0.229,2.7,36,E2,0
SN3-91-19,B37,0.635,Al 2017-T4,2.796,0.3748,0,6.39,Al 2024-T3,0.159,2.796,10.16,Al 6061-T6,0.318,2.7,36,E4,1
SN3-91-19,85-24F,0.635,Al 99.9%,2.78,0.3727,0,6,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.84,52,E2,0
SN3-91-19,85-13,0.635,Al 99.9%,2.78,0.3727,0,5.88,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.84,52,E2,0
SN3-91-19,85-16,0.762,Al 99.9%,2.78,0.644,0,7,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.84,52,E2,0
SN3-91-19,85-20C,0.762,Al 99.9%,2.78,0.644,0,6.4,Al 6061-T6,0.159,2.713,15.24,Al 2219-T87,0.318,2.84,52,D4,1
SN3-91-19,86-2,0.793,Al 99.9%,2.71,0.7076,0,6.98,Al 6061-T6,0.159,2.713,10.16,Al 2219-T87,0.318,2.84,52,F5,1
SN3-91-19,86-1,0.793,Al 99.9%,2.71,0.7076,0,6.9,Al 6061-T6,0.159,2.713,10.16,Al 2219-T87,0.318,2.84,52,F5,1
SN3-91-19,A1895,0.953,Al 2017-T4,2.796,1.2651,0,6.89,Alclad 7075-T6,0.159,2.78,30.48,Al 6061-T6,0.318,2.7,36,F3,0
SN3-91-19,A1868,0.953,Al 2017-T4,2.796,1.2651,0,7.1,Alclad 7075-T6,0.159,2.78,30.48,Al 6061-T6,0.318,2.7,36,F3,0
SN3-91-19,A86/1,0.953,Al 2017-T4,2.796,1.2651,0,6.65,Alclad 7075-T6,0.159,2.78,30.48,Al 2024-T351,0.635,2.77,47,D1,0
SN3-91-19,A1917,0.953,Al 2017-T4,2.796,1.2651,0,6.72,Alclad 7075-T6,0.159,2.78,22.86,Al 2024-T351,0.483,2.77,47,D2,0
SN3-91-19,A1899,0.953,Al 2017-T4,2.796,1.2651,0,6.83,Alclad 7075-T6,0.159,2.78,15.24,Al 2024-T351,0.635,2.77,47,D3,1
SN3-91-19,A1875,0.953,Al 2017-T4,2.796,1.2651,0,6.75,Alclad 7075-T6,0.159,2.78,30.48,Al 6061-T6,0.318,2.7,36,F3,0
SN3-91-19,A86/3,0.953,Al 2017-T4,2.796,1.2651,0,6.65,Alclad 7075-T6,0.159,2.78,30.48,Al 2024-T3,0.229,2.77,47,F4,1
SN3-91-19,A86/4,0.953,Al 2017-T4,2.796,1.2651,0,6.4,Alclad 7075-T6,0.483,2.78,30.48,Al 2024-T3,0.229,2.77,47,E4,1
SN3-91-19,A1918,0.953,Al 2017-T4,2.796,1.2651,0,6.83,Alclad 7075-T6,0.159,2.78,38.1,Al 2024-T3,0.318,2.77,47,E2,0
SN3-91-19,A86/2,0.953,Al 2017-T4,2.796,1.2651,0,6.64,Alclad 7075-T6,0.318,2.78,30.48,Al 2024-T3,0.229,2.77,47,F2,0
SN3-91-19,A86/5,0.953,Al 2017-T4,2.796,1.2651,0,6.47,Alclad 7075-T6,0.159,2.78,30.48,Al 2024-T3,0.318,2.77,47,F4,1
SN3-91-19,A1913,1.27,Al 2017-T4,2.796,2.9988,0,6.71,Alclad 7075-T6,0.318,2.78,50.8,Al 6061-T6,0.483,2.7,36,D2,0
SN3-91-19,A1921,1.27,Al 2017-T4,2.796,2.9988,0,6.8,Alclad 7075-T6,0.159,2.78,22.86,Al 2024-T351,0.635,2.77,47,D3,1
SN3-91-19,A1907,1.27,Al 2017-T4,2.796,2.9988,0,6.53,Alclad 7075-T6,0.318,2.78,50.8,Al 2024-T351,0.483,2.77,47,E4,1
SN3-91-19,MD28,1.908,Al 99.9%,2.78,10.1106,0,7.08,Alclad 7075-T6,0.406,2.78,57.15,Al 2024-T351,0.968,2.77,47,E2,0
SN3-91-19,MD31,1.908,Al 99.9%,2.78,10.1106,0,7.15,Alclad 7075-T6,0.813,2.78,57.15,Al 2024-T351,0.8,2.77,47,E2,0
SN3-91-19,MD29,1.908,Al 99.9%,2.78,10.1106,0,7.08,Alclad 7075-T6,0.406,2.78,76.2,Al 2024-T351,0.622,2.77,47,E3,1
SN3-91-19,MD27,1.908,Al 99.9%,2.78,10.1106,0,7.15,Alclad 7075-T6,0.406,2.78,28.575,Al 2024-T351,2.827,2.77,47,D2,0
