source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,result,perforated_class,spalled_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-,-,-
TP-2003-210788,1644,0.018,Cu,8.25,0.00002519,0,7.97,Al 2024-T3,0.064,2.796,2.54,Al 3003-O,0.025,2.74,18,E2,NP,0,0
TP-2003-210788,1791,0.079,Al 2017-T4,2.796,0.00072,0,7.18,Al 6061-T6,0.094,2.713,1.11,Al 6061-T6,0.172,2.713,36,E1,NP,0,1
TP-2003-210788,1792,0.115,Al 2017-T4,2.796,0.00223,0,6.46,Al 6061-T6,0.094,2.713,1.11,Al 6061-T6,0.169,2.713,36,E2,NP,0,0
TP-2003-210788,1794,0.159,Al 2017-T4,2.796,0.00589,0,5.02,Al 6061-T6,0.096,2.713,1.11,Al 6061-T6,0.17,2.713,36,E3,SP,0,0
TP-2003-210788,1796,0.159,Al 2017-T4,2.796,0.00589,0,5.96,Al 6061-T6,0.095,2.713,1.11,Al 6061-T6,0.17,2.713,36,E2,NP,0,0
TP-2003-210788,1797,0.159,Al 2017-T4,2.796,0.00589,0,5.51,Al 6061-T6,0.096,2.713,1.11,Al 6061-T6,0.17,2.713,36,E2,NP,0,1
TP-2003-210788,1817,0.06,Al 2017-T4,2.796,0.00032,0,7,Al 6061-T6,0.003,2.713,2.86,Al 3003-H12,0.051,2.74,18,E4,P,1,0
TP-2003-210788,1830,0.018,Cu,8.25,0.00002519,0,7.3,Al 6061-T6,0.006,2.713,2.54,Al 3003-O,0.011,2.74,18,E4,P,1,0
TP-2003-210788,1881,0.079,Al 2017-T4,2.796,0.00072,0,6.79,Al 6061-T6,0.041,2.713,5.08,Al 6061-T6,0.127,2.713,36,E1,NP,0,0
TP-2003-210788,A1342,0.318,Al 2017-T4,2.796,0.04715,0,3.96,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,E2,NP,0,0
TP-2003-210788,A1344,0.358,Al 2017-T4,2.796,0.06727,0,3.19,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,D4,P,1,0
TP-2003-210788,A1347,0.358,Al 2017-T4,2.796,0.06727,0,2.93,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,D4,P,1,0
TP-2003-210788,A1368,0.324,Cu,8.79,0.15999,0,5.04,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.159,2.796,47,E5,P,1,0
TP-2003-210788,A1370,0.318,Al 2017-T4,2.796,0.04696,0,5.2,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.158,2.796,47,E5,P,1,0
TP-2003-210788,A1371,0.299,Al 2017-T4,2.796,0.03924,0,6.56,Al 6061-T6,0.063,2.713,10.16,Al 2024-T3,0.125,2.796,47,E4,P,1,0
TP-2003-210788,A1373,0.3,Al 2017-T4,2.796,0.03959,0,6.33,Al 6061-T6,0.063,2.713,10.16,Al 6061-T6,0.122,2.713,36,E4,P,1,0
TP-2003-210788,A1374,0.299,Al 2017-T4,2.796,0.03926,0,6.55,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.125,2.796,47,E4,P,1,0
TP-2003-210788,A1375,0.299,Al 2017-T4,2.796,0.03926,45,6.27,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.127,2.796,47,E4,P,1,0
TP-2003-210788,A1376,0.3,Al 2017-T4,2.796,0.03941,45,6.41,Al 6061-T6,0.064,2.713,10.16,Al 6061-T6,0.127,2.713,36,E4,P,1,0
TP-2003-210788,A1397,0.3,Al 2017-T4,2.796,0.03959,0,6.51,Al 6061-T6,0.064,2.713,10.16,Al 7075-T73,0.125,2.78,68,E3,SP,0,1
TP-2003-210788,A1458,0.238,Al 2017-T4,2.796,0.01977,0,6.74,Al 6061-T6,0.203,2.713,1.98,Al 6061-T6,0.203,2.713,36,E2,NP,0,0
TP-2003-210788,A1459,0.318,Al 2017-T4,2.796,0.04696,45,6.35,Al 6061-T6,0.635,2.713,5.08,Al 6061-T6,0.16,2.713,36,E4,P,1,0
TP-2003-210788,A1462,0.317,Al 2017-T4,2.796,0.0469,0,6.39,Al 6061-T6,0.064,2.713,5.08,Al 2024-T3,0.254,2.796,47,E3,SP,0,1
TP-2003-210788,A1463,0.318,Al 2017-T4,2.796,0.04698,0,6.31,Al 6061-T6,0.081,2.713,5.08,Al 2024-T3,0.254,2.796,47,E3,SP,0,1
TP-2003-210788,A1464,0.317,Al 2017-T4,2.796,0.04691,0,6.43,Al 6061-T6,0.081,2.713,5.08,Al 2219-T87,0.318,2.852,52,E3,SP,0,1
TP-2003-210788,A1465,0.259,Al 2017-T4,2.796,0.02555,0,6.6,Al 6061-T6,0.203,2.713,2,Al 6061-T6,0.203,2.713,36,E3,SP,0,1
TP-2003-210788,A1466,0.281,Al 2017-T4,2.796,0.03237,45,6.54,Al 6061-T6,0.203,2.713,1.98,Al 6061-T6,0.203,2.713,36,D2,NP,0,0
TP-2003-210788,A1467,0.3,Al 2017-T4,2.796,0.03942,45,6.1,Al 6061-T6,0.203,2.713,1.98,Al 6061-T6,0.203,2.713,36,D2,NP,0,0
TP-2003-210788,A1468,0.318,Al 2017-T4,2.796,0.04696,45,6.39,Al 6061-T6,0.203,2.713,1.98,Al 6061-T6,0.203,2.713,36,D4,P,1,0
