source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
CR-65222,E-5,Al2017,2.796,0.318,0,0.72,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,E-2,Al2017,2.796,0.318,0,1.09,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,E-3,Al2017,2.796,0.318,0,1.1,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,E-4,Al2017,2.796,0.318,0,1.1,Al1100-O,2.71,0.159,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,E-1,Al2017,2.796,0.318,0,1.15,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,E-11,Al2017,2.796,0.318,0,1.87,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,E-9,Al2017,2.796,0.318,0,1.89,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,E-52,Al2017,2.796,0.318,0,1.9,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.318,NP,0
CR-65222,E-53,Al2017,2.796,0.318,0,1.9,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.381,NP,0
CR-65222,E-12,Al2017,2.796,0.318,0,1.92,Al1100-O,2.71,0.159,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,E-10,Al2017,2.796,0.318,0,1.94,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,E-14,Al2017,2.796,0.318,0,2.07,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,E-49,Al2017,2.796,0.318,0,2.12,Al1100-O,2.71,0.159,5.08,AA7075-T6,2.81,75,0.254,NP,0
CR-65222,E-50,Al2017,2.796,0.318,0,2.14,Al1100-O,2.71,0.159,5.08,AA7075-T6,2.81,75,0.318,NP,0
CR-65222,E-41,Al2017,2.796,0.318,0,2.4,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.381,NP,0
CR-65222,E-46,Al2017,2.796,0.318,0,2.47,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.381,NP,0
CR-65222,E-42,Al2017,2.796,0.318,0,2.52,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.445,NP,0
CR-65222,E-45,Al2017,2.796,0.318,0,2.59,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.318,NP,0
CR-65222,E-13,Al2017,2.796,0.318,0,2.68,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,E-15,Al2017,2.796,0.318,0,2.72,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
