source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,foam_mat,foam_relDensity,foam_poreSize,foam_density,standoff,bumper_mat,bumper_thick,bumper_density,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,,%,PPI,g/cm3,cm,-,cm,g/cm3,,g/cm3,ksi,cm,-,
NASA-TP-2008-214776,5293-2,AA2017-T4,2.8,0.24,0,3.45,Titanium,8.21,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.07112,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.07112,NP,0
NASA-TP-2008-214776,52293-4,AA2017-T4,2.8,0.26,0,7,Titanium,8.21,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.07112,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.07112,NP,0
NASA-TP-2008-214776,5293-5,AA2017-T4,2.8,0.28,0,6.93,Titanium,8.21,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.07112,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.07112,P,1
NASA-TP-2008-214776,5293-6,AA2017-T4,2.8,0.24,45,6.8,Titanium,8.21,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.07112,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.07112,NP,0
NASA-TP-2008-214776,5379,AA2017-T4,2.8,0.28,0,4.09,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,NP,0
NASA-TP-2008-214776,5373,AA2017-T4,2.8,0.3,45,6.71,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,NP,0
NASA-TP-2008-214776,5372,AA2017-T4,2.8,0.32,45,6.77,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,P,1
NASA-TP-2008-214776,5376,AA2017-T4,2.8,0.32,45,6.62,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,NP,0
NASA-TP-2008-214776,5377,AA2017-T4,2.8,0.32,45,4,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,NP,0
NASA-TP-2008-214776,5378,AA2017-T4,2.8,0.32,45,7.16,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,P,1
NASA-TP-2008-214776,5374,AA2017-T4,2.8,0.34,60,6.6,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,NP,0
NASA-TP-2008-214776,5375,AA2017-T4,2.8,0.36,60,6.76,Titanium,10.1,60,4.5,1.27,Ti-6Al-2Sn-4Zr-2Mo,0.08636,,Ti-6Al-2Sn-4Zr-2Mo,4.54,125,0.08636,NP,0
NASA-TP-2008-214776,3147-3,AA2017-T4,2.8,0.12,0,6.83,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TP-2008-214776,3147-4,AA2017-T4,2.8,0.12,0,6.87,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TP-2008-214776,5036-3,AA2017-T4,2.8,0.14,0,6.45,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TP-2008-214776,5037-2,AA2017-T4,2.8,0.14,45,6.92,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TP-2008-214776,4161,AA2017-T4,2.8,0.4,0,6.89,AA6106-T6,7,10,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TP-2008-214776,4163,AA2017-T4,2.8,0.3969,0,6.79,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TP-2008-214776,3147-2,AA2017-T4,2.8,0.1143,0,6.89,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,3147-1,AA2017-T4,2.8,0.1,0,6.95,AA6106-T6,7,10,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,5036-1,AA2017-T4,2.8,0.1,0,6.88,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,5036-2,AA2017-T4,2.8,0.12,0,6.9,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,5037-1,AA2017-T4,2.8,0.12,45,7.05,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,4151,AA2017-T4,2.8,0.3572,0,6.76,AA6106-T6,7,10,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,4152,AA2017-T4,2.8,0.3572,0,6.79,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,4164,AA2017-T4,2.8,0.44,45,6.7,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,4155,AA2017-T4,2.8,0.4,45,6.89,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,4162,AA2017-T4,2.8,0.4365,45,6.92,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TP-2008-214776,5068,AA2017-T4,2.8,0.48,45,6.93,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,NP,0
NASA-TM-2015-218593,8582,AA2017-T4,2.8,0.25,60,2.63,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8572,AA2017-T4,2.8,0.2,60,6.7,AA6106-T6,7,40,2.7,1.27,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8280,AA2017-T4,2.8,0.21,0,2.18,AA6106-T6,7,10,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8261,AA2017-T4,2.8,0.2,0,6.87,AA6106-T6,7,10,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8269,AA2017-T4,2.8,0.27,45,7.04,AA6106-T6,7,10,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8272,AA2017-T4,2.8,0.32,60,6.7,AA6106-T6,7,10,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8276,AA2017-T4,2.8,0.21,0,2.46,AA6106-T6,7,20,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8253,AA2017-T4,2.8,0.2,0,6.85,AA6106-T6,7,20,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8252,AA2017-T4,2.8,0.25,0,6.88,AA6106-T6,7,20,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
