source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
Piekutowski_2011, 4-2110,AA2017-T4,2.8,0.14,0,9.89,AA6061-T6,2.7,0.0318,2.54,AA6061-T6,2.7,40,0.08255,NP,0
Piekutowski_2011, 8-3291,AA2017-T4,2.8,0.1435,0,9.72,AA6061-T6,2.7,0.0318,2.54,AA2219-T87,2.84,57,0.080518,NP,0
Piekutowski_2011, 8-3288,AA2017-T4,2.8,0.2601,0,9.29,AA6061-T6,2.7,0.0597,4.669,AA2219-T87,2.84,57,0.146558,P,1
Piekutowski_2011, 8-3220,AA2017-T4,2.8,0.2383,0,9.28,AA6061-T6,2.7,0.0635,3.556,AA2024-T3,2.77,50,0.16,P,1
Piekutowski_2011, 8-3264,AA2017-T4,2.8,0.2383,45,9.16,AA6061-T6,2.7,0.0635,3.556,AA2024-T3,2.77,50,0.16,NP,0
Piekutowski_2011, 8-3217,AA2017-T4,2.8,0.2357,0,9.07,AA6061-T6,2.7,0.0597,4.669,AA6061-T6,2.7,40,0.146304,NP,0
Piekutowski_2011, 8-3260,AA2017-T4,2.8,0.2383,0,9.03,AA6061-T6,2.7,0.0597,4.669,AA2219-T87,2.84,57,0.148082,NP,0
Piekutowski_2011, 8-3224,AA2017-T4,2.8,0.2596,0,8.97,AA6061-T6,2.7,0.0597,4.669,AA6061-T6,2.7,40,0.146304,P,1
Piekutowski_2011, 8-3239,AA2017-T4,2.8,0.2598,45,8.83,AA6061-T6,2.7,0.0635,3.556,AA2024-T3,2.77,50,0.16,P,1
Piekutowski_2011, 8-3212,AA2017-T4,2.8,0.2383,0,8.75,AA6061-T6,2.7,0.0597,4.669,AA6061-T6,2.7,40,0.146304,NP,0
Codazzi_2002,EMI-2182,AA2017-T4,2.8,0.2,0,8.5,AA2024-T3,2.77,0.08,6,AA2024-T3,2.77,50,0.08,P,1
Ryan_2013,5562,AA99.9%,2.7,0.2,0,8.29,AA2024-T3,2.77,0.05,3.23,AA2024-T3,2.77,50,0.127,NP,0
Ryan_2013,5607,AA99.9%,2.7,0.2,0,8.18,AA2024-T3,2.77,0.05,3.23,AA2024-T3,2.77,50,0.05,P,1
CR-915,D-0880,AA2017-T4,2.8,0.318,0,8.08,AA1100-O,2.71,0.053,5.08,AA7075-T6,2.8,73,0.081,P,1
TP-2003-210788,1476,AA2017-T4,2.8,0.04,0,8.06,AA3003-H14,2.73,0.01,1.27,AA3003-H14,2.73,21,0.027,NP,0
GM-DRL-TR-63-225,D-247,AA2017-T4,2.8,0.476,0,8.06,AA7075-T6,2.8,0.16,5.08,AA2024-T3,2.77,50,0.635,NP,0
CR-4343,EHRP7,AA1100-O,2.71,0.475,60,8.04,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,NP,0
Kinslow_1971,3,AA2017-T4,2.8,0.153,0,7.95,AA2024-T3,2.77,0.043,0.8,AA2024-T3,2.77,50,0.318,NP,0
CR-915,C-0722,AA2017-T4,2.8,0.318,0,7.93,AA1100-O,2.71,0.064,5.08,AA7075-T6,2.8,73,0.635,NP,0
GM-DRL-TR-63-225,D-431,AA2017-T4,2.8,0.318,0,7.92,AA2024-T3,2.77,0.041,5.08,AA2024-T3,2.77,50,5.08,NP,0
CR-915,D-0972,AA2017-T4,2.8,0.16,0,7.89,AA1100-O,2.71,0.031,5.08,AA7075-T6,2.8,73,0.081,NP,0
GM-DRL-TR-63-225,D-412,AA2017-T4,2.8,0.318,0,7.89,AA2024-T3,2.77,0.16,5.08,AA2024-T3,2.77,50,5.08,NP,0
CR-915,D-0975,AA2017-T4,2.8,0.16,0,7.87,AA1100-O,2.71,0.031,5.08,AA7075-T6,2.8,73,0.041,NP,0
CR-915,D-1853,AA2017-T4,2.8,0.318,0,7.86,AA1100-O,2.71,0.16,2.54,AA7075-T6,2.8,73,1.27,NP,0
GM-DRL-TR-63-225,D-267,AA2017-T4,2.8,0.476,0,7.86,AA2024-T3,2.77,0.16,5.08,AA2024-T3,2.77,50,0.635,P,1
Kinslow_1971,4,AA2017-T4,2.8,0.153,0,7.85,AA2024-T3,2.77,0.043,0.8,AA2024-T3,2.77,50,0.361,NP,0
AFML-TR-70-135,X,AA2017-T4,2.8,0.318,0,7.85,AA6061-T6,2.7,0.0794,5.08,AA6061-T6,2.7,40,0.165,P,1
Kinslow_1971,2,AA2017-T4,2.8,0.153,0,7.84,AA2024-T3,2.77,0.043,0.8,AA2024-T3,2.77,50,0.208,NP,0
GM-DRL-TR-63-225,D-288,AA2017-T4,2.8,0.318,0,7.83,AA2024-T3,2.77,0.16,5.08,AA2024-T3,2.77,50,5.08,NP,0
CR-54201,83,AA99.9%,2.7,0.318,0,7.83,AA2024-T3,2.77,0.051,6.35,AA2024-T3,2.77,50,0.051,P,1
