source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,MLI_type,MLI_AD,MLI_standoff,bumper_mat,bumper_thick,bumper_density,stuffing_string,stuffing_AD,standoff,wall_mat,wall_thick,wall_density,wall_yield,result,perforated_class
-,-,,g/cm3,cm,deg,km/s,-,g/cm2,cm,-,cm,g/cm3,-,g/cm2,cm,-,cm,g/cm3,ksi,,
Kalinski_2004,,SS_440C,7.8,0.9,0,6.9,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Kalinski_2004,,SS_440C,7.8,0.9,0,7,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Kalinski_2004,,SS_440C,7.8,0.833,0,7.04,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Kalinski_2004,,SS_440C,7.8,0.833,0,7.03,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Kalinski_2004,,SS_440C,7.8,0.873,0,6.47,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,SS_440C,7.8,0.9,45,6.84,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Kalinski_2004,,SS_440C,7.8,0.79,45,6.93,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,SS_440C,7.8,0.79,45,4.55,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Kalinski_2004,,SS_440C,7.8,0.873,45,5.75,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,0.95,0,6.51,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,0.95,0,5.51,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,1.032,0,6.94,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Kalinski_2004,,AL2O3,3.9,0.95,45,6.77,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,0.95,45,6.84,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,0.95,45,4.5,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,0.95,45,6.19,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,1,45,7.07,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,1.11,45,6.88,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,NP,0
Kalinski_2004,,AL2O3,3.9,1.191,45,4.48,,,,AA6061-T6,0.2032,2.7,6x Nextel AF62 and 6x Kevlar 710,0.804,5.36,AA2219-T87,0.4826,2.84,57,P,1
Christiansen_IJIE_1995,B229,AA2017-T4,2.8,0.95,0,6.71,,,5.207,AA6061-T6,0.127,2.7,Al mesh with 3x Nextel AF62 and 4x Kevlar 710,0.162,11.4,AA2219-T87,0.32,2.84,57,NP,0
Christiansen_IJIE_1995,B290,AA2017-T4,2.8,0.95,0,7.24,standard,0.35,5.207,AA6061-T6,0.127,2.7,Al mesh with 3x Nextel AF62 and 4x Kevlar 710,0.162,11.4,AA2219-T87,0.32,2.84,57,NP,0
Christiansen_IJIE_1995,B264,AA2017-T4,2.8,0.95,45,6.9,,,5.207,AA6061-T6,0.127,2.7,Al mesh with 3x Nextel AF62 and 4x Kevlar 710,0.162,11.4,AA2219-T87,0.32,2.84,57,NP,0
Christiansen_IJIE_1995,B291,AA2017-T4,2.8,0.95,45,6.69,standard,0.35,5.207,AA6061-T6,0.127,2.7,Al mesh with 3x Nextel AF62 and 4x Kevlar 710,0.162,11.4,AA2219-T87,0.32,2.84,57,NP,0
Christiansen_IJIE_1995,B433,AA2017-T4,2.8,0.95,45,6.75,None,,4.671,AA6061-T6,0.127,2.7,Al mesh with 3x Nextel AF62 and 8x graphite-epoxy,0.284,11.4,AA2219-T87,0.32,2.84,57,NP,0
Christiansen_IJIE_1995,1451,AA2017-T4,2.8,1.27,45,5.73,standard,0.35,4.9695,AA6061-T6,0.127,2.7,Al mesh with 6x Nextel AF62 and 6x Kevlar 710,0.162,11.4,AA2219-T87,0.32,2.84,57,P,1
Christiansen_IJIE_1995,B297,AA2017-T4,2.8,0.95,0,6.52,standard,0.26,3.9685,AA6061-T6,0.1,2.7,Al mesh with 5x Nextel AF62 and 4x Kevlar 710,0.162,9.1,AA2219-T87,0.25,2.84,57,NP,0
Christiansen_IJIE_1995,B654,AA2017-T4,2.8,1,0,6.84,standard,0.35,4.858,AA6061-T6,0.19,2.7,6x Nextel AF62 and 6x Kevlar 710,0.132,11.4,AA2219-T87,0.48,2.84,57,NP,0
Christiansen_IJIE_1995,B552,AA2017-T4,2.8,0.91,45,6.73,toughened (betacloth),0.5,3.2385,AA6061-T6,0.127,2.7,4x Nextel AF62 and 4x Kevlar 710,0.132,7.6,AA2219-T87,0.32,2.84,57,NP,0
