ref,proj_mat,proj_density,angle,bumper_mat,bumper_thick,bumper_density,standoff,wall_thick,wall_mat,wall_density,wall_yieldksi,velocity,dc_NNO,dc_modNNO
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.1,3.0621773884604444,3.933686928415254
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.2,1.9765424109159024,2.4780674824033424
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.30000000000000004,1.5299970922852553,1.8911194274102563
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.4,1.2757980373284028,1.5610846920699823
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.5,1.1080914546187302,1.3453020058693246
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.6,0.9875666095882948,1.191330587229661
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.7000000000000001,0.8959509096587046,1.0749817698042399
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.8,0.8234888475258008,0.9834217321038135
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,0.9,0.7644531343033184,0.9091553938608116
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,1.0,0.7152393468389384,0.8474871578302791
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,1.1,0.67345510505455,0.7953128555752991
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,1.2000000000000002,0.6374442234507757,0.750491242117135
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,1.3000000000000003,0.6060203046442858,0.7114934250320389
test,AA2017-T4,2.8,45,Al6061T6,0.203,2.7,1.98,0.203,Al6061T6,2.7,36,1.4000000000000001,0.5783090743575281,0.6771960800148034
